,lr,ag,lc,dt,cr,rg,rc,tg,tc,cc,wd,ld,fd,dw,py,mt,mn,p1,p2,pd,pf,wk1mc,wk2mc,w1,w2,w3,w4,w5,w1t,w2t,w3t,w4t,w5t,dc,lt,ll3,ll2,ll1,d2l,d1l,lbx,sr,adj1,adj8,ad1,ad8,iw,al,ldiv,predictA
269,L2,9,B,1000,A,g1,r13,g5,t21,0,25,-3,14.0,4,0,0,0.0,-1,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,98,-2.5,-5.5,-8.25,-5.75,-2.75,-2.51,6,23.71,44.22,22.93,43.44,12.0,128,26.0,B
270,L1,5,B,1000,A,g2,r16,g2,t7,0,26,2,23.0,7,1,0,0.0,1,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,gs,81,-5.25,-5.75,-5.25,0.0,0.5,-0.54,7,24.56,47.74,23.78,46.96,0.0,128,31.0,B
271,L2,5,B,1000,A,g2,r16,g2,t7,-1,26,16,23.0,7,1,0,0.0,0,0,-11,1,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,ss,105,0.5,0.25,-16.25,-16.75,-16.5,-2.66,13,26.81,49.88,26.21,49.28,0.0,128,32.0,C
272,L3,5,B,1000,A,g2,r16,g2,t7,-1,26,6,23.0,7,1,0,0.0,-1,-5,-5,3,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,gs,137,-1.5,-2.0,-9.0,-7.5,-7.0,-0.43,9,24.22,47.65,24.04,47.47,34.0,128,57.0,C
273,L1,5,B,1000,A,g2,r18,g4,t15,0,-4,-3,7.4,6,1,0,0.0,3,0,2,9,0,7,0.0,22.8,0.0,0.0,0.0,False,True,False,False,False,ss,88,-5.25,-4.5,-4.0,1.25,0.5,-0.48,3,23.61,46.95,23.73,47.07,12.6,126,20.0,E
274,L2,5,B,1000,A,g2,r18,g4,t15,0,-4,-5,7.4,6,1,0,0.0,4,2,-3,5,0,7,0.0,22.8,0.0,0.0,0.0,False,True,False,False,False,ss,119,-3.25,-2.25,-5.25,-2.0,-3.0,-0.33,8,23.21,46.48,23.45,46.72,52.6,126,60.0,E
275,L3,5,B,1000,A,g2,r18,g4,t15,0,-4,-7,7.4,6,1,0,0.0,3,4,4,11,0,7,0.0,22.8,0.0,0.0,0.0,False,True,False,False,False,tc,168,-2.0,-2.75,-2.5,-0.5,0.25,-2.04,3,23.36,44.62,23.09,44.35,0.0,126,9.7,E
276,L1,4,B,1000,A,g1,r15,g3,t12,0,3,-1,2.6,10,1,0,0.0,0,-6,-6,1,0,0,0.0,0.0,0.0,22.7,0.0,False,False,False,True,False,ts,21,0.75,0.75,-3.25,-4.0,-4.0,-1.61,8,24.2,46.73,24.11,46.64,0.0,125,6.6,C
277,L3,4,B,1000,A,g1,r15,g3,t12,0,3,-6,2.6,10,1,0,0.0,0,-7,-7,1,0,0,0.0,0.0,0.0,22.7,0.0,False,False,False,True,False,tc,168,0.06,0.75,-5.25,-5.31,-6.0,-3.02,11,24.82,45.96,23.98,45.12,0.0,125,6.4,C
278,L2,4,B,1000,A,g1,r15,g3,t12,0,3,-4,2.6,10,1,0,0.0,-1,-1,-1,9,0,0,0.0,0.0,0.0,22.7,0.0,False,False,False,True,False,gs,158,-4.0,-5.0,-8.5,-4.5,-3.5,-0.91,10,24.88,47.89,23.8,46.81,0.0,125,9.6,C
279,L3,6,B,1000,A,a3,r5,g5,t22,0,26,-8,61.0,13,0,0,0.0,-2,-1,-8,3,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,ss,182,-1.0,-1.0,-9.75,-8.75,-8.75,-0.99,12,24.93,49.14,24.96,49.17,0.0,122,39.0,E
280,L2,6,B,1000,A,a3,r5,g5,t22,0,26,-8,61.0,13,0,0,0.0,1,4,4,9,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,ss,147,-3.75,-6.0,-3.75,0.0,2.25,-1.0,4,23.83,46.39,23.32,45.88,0.0,122,4.7,E
281,L1,6,B,1000,A,a3,r5,g5,t22,0,26,-2,61.0,13,0,0,0.0,0,-1,-1,11,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,ts,21,-7.25,-5.0,-9.5,-2.25,-4.5,-2.19,10,25.08,47.25,24.3,46.47,0.0,122,80.0,E
282,L3,8,B,1000,A,g4,r29,g5,t20,0,-10,-5,8.1,9,1,0,0.0,1,4,4,9,0,1,0.0,22.8,22.8,0.0,0.0,False,True,True,False,False,ss,147,-2.5,-5.75,-3.75,-1.25,2.0,-0.87,5,23.17,45.89,23.44,46.16,19.9,118,28.0,A
283,L2,8,B,1000,A,g4,r29,g5,t20,0,-10,-2,8.1,9,1,0,0.0,0,1,1,3,0,1,0.0,22.8,22.8,0.0,0.0,False,True,True,False,False,ss,88,-0.75,-2.5,-3.25,-2.5,-0.75,-1.51,6,23.5,46.15,24.1,46.75,3.9,118,12.0,A
284,L1,8,B,1000,A,g4,r29,g5,t20,0,-10,5,8.1,9,1,0,0.0,1,0,-8,1,0,1,0.0,22.8,22.8,0.0,0.0,False,True,True,False,False,ss,77,0.5,0.25,-4.5,-5.0,-4.75,-1.0,14,24.22,47.59,24.52,47.89,91.9,118,100.0,C
285,L1,6,B,1000,A,g1,r14,g3,t13,0,-8,5,5.3,12,1,0,0.0,1,-5,-5,3,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,ts,21,-1.25,-1.25,-5.25,-4.0,-4.0,-1.74,9,24.18,46.71,24.42,46.95,15.7,115,21.0,B
286,L2,6,B,1000,A,g1,r14,g3,t13,0,-8,4,5.3,12,1,0,0.0,-1,2,2,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,dd,74,-3.0,-4.75,-2.0,1.0,2.75,-0.88,5,23.3,45.06,22.76,44.52,19.7,115,25.0,B
287,L3,6,B,1000,A,g1,r14,g3,t13,0,-8,5,5.3,12,1,0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,98,-0.5,-1.0,-5.0,-4.5,-4.0,-3.13,11,23.72,43.83,23.39,43.5,4.7,115,10.0,B
288,L3,5,B,1400,A,a4,r12,g3,t12,-1,-10,12,210.0,14,0,8,23.6,-1,-4,-4,7,0,0,0.0,0.0,0.0,23.2,0.0,False,False,False,True,False,gz,158,-3.25,-4.0,-13.0,-9.75,-9.0,-2.02,11,26.03,49.47,25.76,49.2,-46.0,133,164.0,E
289,L2,5,B,1400,A,a4,r12,g3,t12,-1,-10,12,210.0,14,0,8,23.6,0,3,3,11,0,0,0.0,0.0,0.0,23.2,0.0,False,False,False,True,False,tz,98,-9.75,-11.75,-9.5,0.25,2.25,-1.36,6,23.72,45.76,23.7,45.74,16.0,133,226.0,E
290,L1,5,B,1400,A,a4,r12,g3,t12,-1,-10,15,210.0,14,0,8,23.6,-1,-2,0,11,0,0,0.0,0.0,0.0,23.2,0.0,False,False,False,True,False,tc,77,-7.0,-6.0,-11.5,-4.5,-5.5,-0.43,13,23.77,46.99,24.02,47.24,62.0,133,272.0,E
291,L1,5,B,1400,A,a1,r2,g3,t10,0,19,0,8.8,1,0,0,0.0,0,0,-4,3,0,0,0.0,0.0,0.0,0.0,23.4,False,False,False,False,True,tc,14,-1.0,-3.0,-5.0,-4.0,-2.0,-1.31,8,25.22,48.66,24.75,48.19,0.0,123,6.0,A
292,L3,5,B,1400,A,a1,r2,g3,t10,-1,19,11,8.8,1,0,0,0.0,0,0,-7,1,0,0,0.0,0.0,0.0,0.0,23.4,False,False,False,False,True,gs,116,1.5,0.5,-5.75,-7.25,-6.25,-0.31,10,25.26,49.89,25.21,49.84,2.2,123,11.0,A
293,L2,5,B,1400,A,a1,r2,g3,t10,-1,19,7,8.8,1,0,0,0.0,1,-6,-6,1,0,0,0.0,0.0,0.0,0.0,23.4,False,False,False,False,True,tz,98,-0.25,0.06,-4.0,-3.75,-4.06,-0.87,12,23.55,46.13,23.62,46.2,7.2,123,16.0,A
294,L2,5,B,1400,A,g1,r13,g3,t13,-1,7,18,2.9,7,1,0,0.0,1,-3,-3,7,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,tz,21,-1.25,-2.0,-5.0,-3.75,-3.0,-2.31,11,23.55,44.17,23.38,44.0,0.0,133,8.3,C
295,L3,5,B,1400,A,g1,r13,g3,t13,-1,7,22,2.9,7,1,0,0.0,0,0,-8,1,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,gs,74,1.25,1.25,-9.0,-10.25,-10.25,-1.23,10,25.99,50.58,26.37,50.96,12.1,133,15.0,C
296,L1,5,B,1400,A,g1,r13,g3,t13,-1,7,19,2.9,7,1,0,0.0,0,-6,-6,1,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,zc,14,0.5,0.06,-7.0,-7.5,-7.06,-3.51,7,25.94,47.72,25.76,47.54,0.0,133,6.5,B
297,L3,6,B,1400,A,a1,r1,g1,t2,-1,24,11,6.3,9,1,0,0.0,1,0,8,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,105,-8.5,-6.75,-3.0,5.5,3.75,0.02,3,23.25,46.12,23.12,45.99,9.7,131,16.0,E
298,L1,6,B,1400,A,a1,r1,g1,t2,-1,24,21,6.3,9,1,0,0.0,-1,-2,-3,3,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,84,-0.75,-1.5,-6.75,-6.0,-5.25,-0.15,8,24.6,47.93,24.0,47.33,8.7,131,15.0,E
299,L2,6,B,1400,A,a1,r1,g1,t2,-1,24,14,6.3,9,1,0,0.0,-4,-1,0,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,92,-4.0,-6.75,-8.25,-4.25,-1.5,0.14,8,23.89,47.2,23.52,46.83,13.7,131,20.0,E
300,L1,5,B,1400,A,g2,r17,g1,t23,-1,2,19,24.0,10,1,0,0.0,0,0,-5,1,0,0,0.0,0.0,0.0,22.7,21.9,False,False,False,True,True,ss,84,-1.5,-1.5,-7.25,-5.75,-5.75,-0.61,11,24.95,48.77,24.9,48.72,0.0,131,28.0,C
301,L3,5,B,1400,A,g2,r17,g1,t23,-1,2,12,24.0,10,1,0,0.0,-1,3,3,11,0,0,0.0,0.0,0.0,22.7,21.9,False,False,False,True,True,tz,126,-6.0,-7.5,-5.75,0.25,1.75,-0.86,3,23.56,46.06,23.66,46.16,68.0,131,92.0,C
302,L2,5,B,1400,A,g2,r17,g1,t23,-1,2,16,24.0,10,1,0,0.0,0,1,2,9,0,0,0.0,0.0,0.0,22.7,21.9,False,False,False,True,True,tc,92,-3.0,-4.0,-4.25,-1.25,-0.25,0.04,6,23.26,46.29,23.39,46.42,80.0,131,104.0,C
303,L1,4,B,1400,A,g1,r14,g1,t1,0,1,1,5.3,6,1,0,0.0,0,0,1,3,0,0,0.0,0.0,0.0,0.0,23.0,False,False,False,False,True,tc,14,-4.0,-4.75,-2.0,2.0,2.75,-0.78,4,24.07,47.31,24.04,47.28,0.0,129,7.4,B
304,L2,4,B,1400,A,g1,r14,g1,t1,0,1,1,5.3,6,1,0,0.0,-3,0,0,9,0,0,0.0,0.0,0.0,0.0,23.0,False,False,False,False,True,tc,88,-6.25,-5.0,-6.5,-0.25,-1.5,-0.9,11,24.38,47.64,24.18,47.44,14.7,129,20.0,C
305,L3,4,B,1400,A,g1,r14,g1,t1,-1,1,14,5.3,6,1,0,0.0,0,-4,-6,3,0,0,0.0,0.0,0.0,0.0,23.0,False,False,False,False,True,gs,137,-1.5,-4.75,-20.25,-18.75,-15.5,-1.47,12,26.94,52.16,27.04,52.26,24.7,129,30.0,C
306,L1,5,B,1400,A,g2,r16,g4,t16,0,-10,-2,79.0,5,0,0,0.0,2,-4,-8,3,0,0,0.0,0.0,22.8,0.0,0.0,False,False,True,False,False,ss,92,-0.25,-5.0,-30.25,-30.0,-25.25,-3.15,14,28.06,53.27,28.31,53.52,0.0,129,25.0,C
307,L3,5,B,1400,A,g2,r16,g4,t16,-1,-10,14,79.0,5,0,0,0.0,0,6,6,11,0,0,0.0,0.0,22.8,0.0,0.0,False,False,True,False,False,gz,144,-6.25,-6.5,-4.25,2.0,2.25,-0.54,4,23.22,45.85,23.52,46.15,0.0,129,96.0,E
308,L2,5,B,1400,A,g2,r16,g4,t16,0,-10,6,79.0,5,0,0,0.0,0,-1,-5,5,0,0,0.0,0.0,22.8,0.0,0.0,False,False,True,False,False,tc,119,-2.5,-3.0,-6.25,-3.75,-3.25,-0.15,11,23.64,47.15,23.81,47.32,0.0,129,6.5,C
309,L2,5,B,1400,A,a2,r7,g3,t11,0,4,-5,37.0,13,0,0,0.0,1,-1,-6,1,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,gs,186,0.5,-0.75,-9.75,-10.25,-9.0,-0.98,9,25.62,50.28,25.52,50.18,0.0,125,3.7,A
310,L1,5,B,1400,A,a2,r7,g3,t11,0,4,-3,37.0,13,0,0,0.0,0,0,-10,1,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,ss,141,0.75,0.5,-7.25,-8.0,-7.75,0.01,11,24.66,49.31,24.57,49.22,0.0,125,9.2,A
311,L3,5,B,1400,A,a2,r7,g3,t11,0,4,-5,37.0,13,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,ts,232,-0.5,-0.06,-1.25,-0.75,-1.19,0.83,8,23.7,48.3,23.65,48.25,0.0,125,10.0,A
312,L2,7,B,1400,A,g2,r18,g5,t18,0,29,-3,13.0,3,1,0,0.0,0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,88,-4.75,-4.5,-5.5,-0.75,-1.0,-0.67,8,25.06,48.48,24.02,47.44,11.0,124,24.0,C
313,L3,7,B,1400,A,g2,r18,g5,t18,0,29,-5,13.0,3,1,0,0.0,0,-2,-1,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,ss,141,-7.5,-4.5,-18.75,-11.25,-14.25,-1.57,14,26.56,50.73,25.62,49.79,0.0,124,18.0,D
314,L1,7,B,1400,A,g2,r18,g5,t18,0,29,0,13.0,3,1,0,0.0,4,0,2,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,14,-6.25,-3.75,-4.0,2.25,-0.25,-0.3,7,24.27,47.52,23.55,46.8,11.0,124,24.0,C
315,L1,7,B,1400,A,a4,r10,g5,t22,0,6,-2,104.0,8,0,0,0.0,-1,1,-1,5,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,14,-7.5,-5.5,-4.0,3.5,1.5,-1.43,5,24.33,47.13,24.18,46.98,0.0,119,104.0,D
316,L3,7,B,1400,A,a4,r10,g5,t22,0,6,-3,104.0,8,0,0,0.0,1,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,zc,266,-7.25,-10.0,-15.5,-8.25,-5.5,-1.69,11,23.73,46.62,24.51,47.4,0.0,119,9.2,D
317,L2,7,B,1400,A,a4,r10,g5,t22,0,6,-2,104.0,8,0,0,0.0,-3,5,5,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,zc,88,-2.25,-6.75,-6.0,-3.75,0.75,-0.8,3,24.31,47.4,23.84,46.93,0.0,119,17.0,D
318,L2,5,B,1400,A,g1,r15,g4,t15,0,-4,0,5.7,12,1,0,0.0,-2,0,-3,5,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,ss,21,-2.5,-2.5,-2.75,-0.25,-0.25,-0.3,8,23.49,46.83,23.64,46.98,55.3,119,61.0,B
319,L1,5,B,1400,A,g1,r15,g4,t15,0,-4,3,5.7,12,1,0,0.0,-2,0,8,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,14,-13.0,-9.75,-2.5,10.5,7.25,-0.7,2,23.28,45.88,23.37,45.97,37.3,119,43.0,B
320,L3,5,B,1400,A,g1,r15,g4,t15,0,-4,-2,5.7,12,1,0,0.0,5,-1,-1,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tc,77,-6.25,-4.5,-6.5,-0.25,-2.0,-0.88,10,23.92,47.01,23.92,47.01,96.3,119,102.0,A
321,L1,4,B,1400,A,a4,r3,g5,t19,0,6,-6,329.0,2,0,0,0.0,-4,-3,-3,7,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,tz,21,-4.25,-4.5,-14.75,-10.5,-10.25,-2.71,13,25.28,47.85,25.13,47.7,-149.0,113,180.0,E
322,L3,4,B,1400,A,a4,r3,g5,t19,-1,6,-1,329.0,2,0,0,0.0,0,0,0,11,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,tz,119,-5.5,-7.0,-15.25,-9.75,-8.25,-2.57,12,23.18,44.01,23.38,44.21,224.0,113,553.0,E
323,L2,4,B,1400,A,a4,r3,g5,t19,0,6,-14,329.0,2,0,0,0.0,0,-6,0,7,0,0,0.0,0.0,0.0,0.0,22.1,False,False,False,False,True,gs,81,-3.75,-6.5,-21.25,-17.5,-14.75,-1.26,11,25.51,50.51,25.91,50.91,-185.0,113,144.0,D
324,L1,8,B,1400,A,g4,r29,g5,t21,0,39,1,99.0,4,0,0,0.0,0,1,1,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,gz,11,-8.25,-7.75,-4.5,3.75,3.25,0.08,2,23.85,46.78,22.87,45.8,0.0,115,39.0,B
325,L2,8,B,1400,A,g4,r29,g5,t21,0,39,-3,99.0,4,0,0,0.0,0,5,5,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,gz,18,-5.5,-6.25,-5.75,-0.25,0.5,-1.35,4,23.9,45.63,23.01,44.74,0.0,115,14.0,B
326,L3,8,B,1400,A,g4,r29,g5,t21,0,39,-5,99.0,4,0,0,0.0,2,4,4,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,gz,74,-3.25,-3.75,-0.5,2.75,3.25,-1.02,4,23.05,44.61,22.46,44.02,0.0,115,30.0,B
327,L2,7,B,1400,A,a3,r6,g3,t13,0,1,-6,21.0,11,0,0,0.0,2,0,0,3,0,0,0.0,0.0,0.0,22.9,23.2,False,False,False,True,True,ss,21,-2.0,-1.25,-1.25,0.75,0.0,-0.37,7,23.37,46.59,23.44,46.66,0.0,113,7.3,A
328,L3,7,B,1400,A,a3,r6,g3,t13,0,1,-7,21.0,11,0,0,0.0,0,1,-3,7,0,0,0.0,0.0,0.0,22.9,23.2,False,False,False,True,True,ss,92,-3.5,-5.25,-6.75,-3.25,-1.5,0.18,10,24.28,49.01,24.38,49.11,0.0,113,13.0,A
329,L1,7,B,1400,A,a3,r6,g3,t13,0,1,-4,21.0,11,0,0,0.0,0,1,1,11,0,0,0.0,0.0,0.0,22.9,23.2,False,False,False,True,True,gs,11,-7.25,-7.25,-6.5,0.75,0.75,0.13,4,23.92,48.04,23.89,48.01,0.0,113,25.0,A
330,L3,5,B,1400,A,g2,r17,g1,t3,-1,1,23,17.0,8,0,0,0.0,0,0,7,11,0,0,0.0,0.0,0.0,22.7,0.0,False,False,False,True,False,tc,98,-7.25,-6.25,-4.5,2.75,1.75,0.14,4,23.56,46.54,23.41,46.39,31.0,133,48.0,C
331,L1,5,B,1400,A,g2,r17,g1,t3,-1,1,23,17.0,8,0,0,0.0,-1,0,3,11,0,0,0.0,0.0,0.0,22.7,0.0,False,False,False,True,False,tc,14,-7.0,-6.0,-8.5,-1.5,-2.5,-0.59,8,23.85,46.51,23.82,46.48,51.0,133,68.0,C
332,L2,5,B,1400,A,g2,r17,g1,t3,-1,1,16,17.0,8,0,0,0.0,0,4,2,9,0,0,0.0,0.0,0.0,22.7,0.0,False,False,False,True,False,tc,92,-3.5,-2.5,-1.75,1.75,0.75,-0.36,5,23.58,46.23,23.41,46.06,0.0,133,12.0,C
333,L3,6,B,1400,A,g4,r30,g5,t21,0,12,5,6.7,5,0,0,0.0,0,1,0,7,0,5,0.0,22.3,0.0,0.0,0.0,False,True,False,False,False,tc,224,-4.25,-3.75,-5.75,-1.5,-2.0,-0.74,7,24.76,48.28,24.38,47.9,0.0,130,6.7,B
334,L1,6,B,1400,A,g4,r30,g5,t21,0,12,-1,6.7,5,0,0,0.0,1,2,3,7,0,5,0.0,22.3,0.0,0.0,0.0,False,True,False,False,False,tc,147,-6.0,-4.75,-1.0,5.0,3.75,0.22,5,23.06,46.07,22.77,45.78,5.3,130,12.0,B
335,L2,6,B,1400,A,g4,r30,g5,t21,0,12,2,6.7,5,0,0,0.0,1,1,8,11,0,5,0.0,22.3,0.0,0.0,0.0,False,True,False,False,False,tc,168,-6.75,-4.5,-0.25,6.5,4.25,-0.79,1,23.81,46.46,23.49,46.14,4.3,130,11.0,B
336,L2,5,B,1400,A,g3,r24,g3,t12,0,10,1,8.9,6,0,0,0.0,0,0,6,11,0,0,0.0,0.0,0.0,22.9,0.0,False,False,False,True,False,ss,92,-9.0,-7.5,-5.0,4.0,2.5,0.54,3,24.02,48.26,23.72,47.96,64.1,123,73.0,A
337,L1,5,B,1400,A,g3,r24,g3,t12,0,10,3,8.9,6,0,0,0.0,-1,4,4,11,0,0,0.0,0.0,0.0,22.9,0.0,False,False,False,True,False,gz,18,-5.25,-6.0,-2.25,3.0,3.75,0.03,3,23.14,45.99,22.89,45.74,131.1,123,140.0,C
338,L3,5,B,1400,A,g3,r24,g3,t12,0,10,1,8.9,6,0,0,0.0,0,-1,1,11,0,0,0.0,0.0,0.0,22.9,0.0,False,False,False,True,False,gs,116,-6.5,-8.0,-6.75,-0.25,1.25,0.42,6,24.07,48.46,23.99,48.38,26.1,123,35.0,C
339,L3,4,B,1400,A,g2,r18,g5,t22,0,3,0,91.0,11,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,122,0.0,E
340,L2,4,B,1400,A,g2,r18,g5,t22,0,3,-2,91.0,11,0,0,0.0,-2,-7,-7,3,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,tz,84,-0.5,-1.25,-10.25,-9.75,-9.0,-2.9,13,23.41,43.75,23.19,43.53,0.0,122,23.0,E
341,L1,4,B,1400,A,g2,r18,g5,t22,0,3,0,91.0,11,0,0,0.0,0,-6,-6,1,0,0,0.0,0.0,0.0,22.8,0.0,False,False,False,True,False,zc,14,-0.06,-0.25,-12.0,-11.94,-11.75,-2.64,9,25.04,47.37,24.97,47.3,0.0,122,59.0,E
342,L3,6,B,1400,A,g1,r15,g2,t6,0,15,1,2.5,2,0,0,0.0,0,-4,-4,3,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,tz,92,-1.25,-1.25,-7.0,-5.75,-5.75,-1.34,9,23.34,45.54,23.56,45.76,18.5,120,21.0,B
343,L1,6,B,1400,A,g1,r15,g2,t6,0,15,7,2.5,2,0,0,0.0,1,-4,-4,3,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,gz,18,-1.0,-0.75,-2.0,-1.0,-1.25,-0.93,9,24.17,46.86,23.79,46.48,11.5,120,14.0,A
344,L2,6,B,1400,A,g1,r15,g2,t6,0,15,2,2.5,2,0,0,0.0,2,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,gz,74,-4.75,-1.75,-1.5,3.25,0.25,-0.81,7,23.08,45.5,23.28,45.7,71.5,120,74.0,A
345,L1,4,B,1400,A,a1,r1,g3,t10,0,4,-2,38.0,7,0,0,0.0,1,-1,-1,9,0,0,0.0,0.0,0.0,0.0,24.0,False,False,True,False,True,tz,92,-6.0,-4.0,-8.75,-2.75,-4.75,-1.5,7,23.43,45.31,23.33,45.21,175.0,120,213.0,E
346,L3,4,B,1400,A,a1,r1,g3,t10,0,4,0,38.0,7,0,0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,24.0,False,False,True,False,True,dd,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,120,0.0,E
347,L2,4,B,1400,A,a1,r1,g3,t10,0,4,-5,38.0,7,0,0,0.0,-1,0,0,11,0,0,0.0,0.0,0.0,0.0,24.0,False,False,True,False,True,tz,112,-5.75,-7.75,-14.5,-8.75,-6.75,-0.89,6,23.89,46.94,23.82,46.87,0.0,120,66.0,E
348,L3,4,B,1400,A,g2,r16,g3,t11,0,7,-6,6.0,9,0,0,0.0,0,-5,2,9,0,6,0.0,22.7,0.0,0.0,0.0,False,True,False,False,False,ss,147,-7.5,-8.5,-10.75,-3.25,-2.25,-0.91,8,24.57,48.18,24.37,47.98,8.0,120,14.0,A
349,L1,4,B,1400,A,g2,r16,g3,t11,0,7,-4,6.0,9,0,0,0.0,0,0,0,3,0,6,0.0,22.7,0.0,0.0,0.0,False,True,False,False,False,gs,95,-1.75,-1.5,-2.25,-0.5,-0.75,0.3,7,23.75,47.73,23.58,47.56,0.0,120,4.2,A
350,L2,4,B,1400,A,g2,r16,g3,t11,0,7,-5,6.0,9,0,0,0.0,1,2,4,11,0,6,0.0,22.7,0.0,0.0,0.0,False,True,False,False,False,tc,133,-6.25,-7.25,-2.75,3.5,4.5,0.45,1,22.52,45.47,22.38,45.33,15.0,120,21.0,A
351,L3,5,B,1400,A,g1,r14,g2,t8,0,45,-3,16.0,10,0,0,0.0,0,5,5,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tz,84,-4.0,-3.75,-3.5,0.5,0.25,-0.13,4,24.06,46.72,22.72,45.38,0.0,119,10.0,B
352,L1,5,B,1400,A,g1,r14,g2,t8,0,45,0,16.0,10,0,0,0.0,0,3,3,9,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,tz,21,-5.0,-4.5,-3.5,1.5,1.0,-0.57,5,24.12,46.55,23.0,45.43,0.0,119,12.0,B
353,L2,5,B,1400,A,g1,r14,g2,t8,0,45,-2,16.0,10,0,0,0.0,0,3,3,7,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,gz,74,-5.5,-4.25,-1.75,3.75,2.5,-0.14,4,24.01,46.71,22.79,45.49,0.0,119,12.0,B
354,L3,5,B,1400,A,a2,r7,g5,t19,0,1,-7,16.0,4,0,0,0.0,0,0,0,11,0,0,0.0,0.0,0.0,22.2,0.0,False,False,False,True,False,gs,130,-10.5,-12.25,-16.5,-6.0,-4.25,-0.22,11,24.4,48.41,24.06,48.07,113.0,119,129.0,C
355,L2,5,B,1400,A,a2,r7,g5,t19,0,1,-9,16.0,4,0,0,0.0,2,-1,-1,9,0,0,0.0,0.0,0.0,22.2,0.0,False,False,False,True,False,ss,98,-7.25,-6.75,-5.5,1.75,1.25,0.97,6,22.81,46.69,22.69,46.57,69.0,119,85.0,C
356,L1,5,B,1400,A,a2,r7,g5,t19,0,1,-6,16.0,4,0,0,0.0,0,-1,0,11,0,0,0.0,0.0,0.0,22.2,0.0,False,False,False,True,False,gs,74,-8.5,-7.25,-14.0,-5.5,-6.75,-1.06,9,25.33,49.72,25.3,49.69,54.0,119,70.0,C
357,L1,6,B,1400,A,a2,r4,g3,t13,0,4,-1,14.0,3,0,6,23.7,3,-1,-1,11,0,0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,gz,18,-6.0,-4.5,-3.0,3.0,1.5,-0.67,6,23.23,45.72,23.14,45.63,9.0,116,23.0,B
