age,nameA,nameB,wdiff,ldiff,l2rwd,l2rld,l3rwd,l3rld,fd,dw,py,mtv,morn,p1,p2,pd,pf,l2p1,l2p2,l2pd,l2pf,l3p1,l3p2,l3pd,l3pf,w1btd1,w2btd1,w3btd1,w4btd1,w6btd1,wk1Bt,wk2Bt,wk3Bt,wk4Bt,wk6Bt,dc,lt,ll3,ll2,ll1,d2leng,d1leng,lbx,sr,adj1,adj8,ad1,ad8,l2adj1,l2adj8,l3adj1,l2adj8,l2itv,l2dc,l2l3,l2l2,l2l1,last2Bx,l2sk,l3dc,L3Itv,l3l3,l3l2,l3l1,last3Bx,l3sk,IWin,al,ldiv,predictA
4,何良,蘇狄雄,2,1,1060,122,1060,122,348,6,0,NULL,NULL,0,0,0,1114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.2,NULL,FALSE,FALSE,FALSE,TRUE,FALSE,田增,14,-8.25,-7.25,-8,0.25,-0.75,-0.24,7,22.57,44.83,22.52,44.78,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,122,97,14
4,韋達,周俊樂,-11,-11,-10,-12,4,-9,5,3,0,6,22.8,0,0,1,56,0,1,-4,34,0,0,1,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,28,-6.75,-3,-2,4.75,1,-0.33,7,22.22,44.66,22.5,44.94,23.38,46.45,22.12,46.45,49,同程,-2.5,-1.5,-2,-0.61,10,同程,78,-1.5,-1.25,-1.75,0.99,7,7,114,12,5
4,約翰摩亞,楊明綸,2,-6,-7,-5,-4,-5,44,8,0,NULL,NULL,0,0,-9,12,0,4,4,1114,5,0,-9,34,NULL,NULL,NULL,NULL,22.4,FALSE,FALSE,FALSE,FALSE,TRUE,縮程,14,3.5,0.06,-7.75,-11.25,-7.81,0.11,10,24.11,48.43,24.06,48.38,22.67,45.57,24.29,45.57,35,田增,-5.25,-4.25,-4.75,0.11,5,谷縮,109,-1,-0.5,-8.25,-0.62,12,NULL,123,17,10
4,沈集成,波健士,-13,3,-29,-3,-12,-4,13,2,0,NULL,NULL,0,-3,-6,56,0,0,-3,12,0,0,-4,12,23.6,NULL,NULL,NULL,NULL,TRUE,FALSE,FALSE,FALSE,FALSE,同程,56,-2,-2.25,-11.5,-9.5,-9.25,-1,14,24.69,48.63,25.01,48.95,22.78,46.11,23.91,46.11,78,同程,-0.75,-0.5,-4,0.48,12,同程,141,1.75,0.5,-1.75,-0.63,11,NULL,122,9.9,2
4,羅富全,史卓豐,-6,-2,-13,-2,-2,2,10,13,0,NULL,NULL,1,1,-6,56,1,2,5,910,0,0,6,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,35,-4.5,-0.75,-5.5,-1,-4.75,-0.04,11,23.73,47.62,23.88,47.77,23.2,46.07,22,46.07,49,同程,-5.75,-3.5,-1.5,-0.38,3,同程,70,-5.25,-3.5,-0.06,1.37,1,NULL,118,5.2,11
4,蘇保羅,蔡明紹,-15,1,-12,-1,-11,2,37,4,0,NULL,NULL,0,1,3,1114,0,-1,-1,78,0,1,8,1114,NULL,NULL,22.5,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,同程,78,-7,-5.5,-5.75,1.25,-0.25,0.81,6,21.97,45.1,22.34,45.47,22.89,46.32,23.15,46.32,119,縮程,-3.75,-2.25,-5.25,0.52,7,同程,141,-9.75,-4.5,-0.5,-0.56,3,NULL,118,45,7
4,容天鵬,田泰安,5,1,-10,0,11,0,13,7,0,NULL,NULL,0,1,1,56,0,1,0,78,4,0,0,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,22,-3.5,-4,-0.75,2.75,3.25,0.42,2,22.26,44.79,22.13,44.66,23.49,46.4,22.56,46.4,49,同程,-4.5,-2.5,-2,-0.58,7,田增,70,-4.5,-2.5,-2.5,-0.01,5,NULL,117,7.5,1
5,蘇偉賢,潘明輝,-2,-4,-6,-4,-15,-4,145,9,0,NULL,NULL,0,0,0,910,0,1,2,910,3,2,0,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,25,-6,-7.75,-3.5,2.5,4.25,-0.98,3,23.11,45.39,23.16,45.44,23.81,47.38,23.11,47.38,63,同程,-5.5,-4.5,-5.25,-0.34,6,同程,78,-4.75,-4,-2,-0.29,8,NULL,113,71,13
3,約翰摩亞,周俊樂,6,-8,17,-8,22,-8,10,11,0,2,22.6,1,2,2,56,1,-3,-3,56,1,4,4,1114,NULL,NULL,NULL,NULL,22.3,FALSE,FALSE,FALSE,FALSE,TRUE,田增,22,-1.25,-1.75,-0.5,0.75,1.25,-2.18,4,22.09,42.06,21.91,41.88,22.73,44.19,21.63,44.19,53,谷增,-1.25,-1.5,-2.25,-1.51,8,田增,84,-1.75,-3.75,-2.25,-1.55,6,NULL,122,8.6,8
7,告東尼,賀銘年,-8,4,-16,-2,-21,1,22,8,0,NULL,NULL,-1,-1,-4,34,1,2,2,910,-1,1,1,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,22,-2.75,-4,-4,-1.25,0,-0.26,9,22.98,45.82,23.22,46.06,22.59,45.06,23.17,45.06,35,同程,-3.75,-2.5,-2.75,-0.18,4,同程,63,-4,-3.5,-4.5,-0.43,7,NULL,127,16,9
3,沈集成,潘頓,1,-10,21,-10,20,-3,3.7,5,0,NULL,NULL,0,1,1,12,-1,-3,-3,12,0,1,1,12,NULL,NULL,NULL,21.9,22.8,FALSE,FALSE,FALSE,TRUE,TRUE,同程,84,-1.25,-0.25,0.06,1.31,0.31,0,6,22.24,44.75,22.21,44.72,23.66,46.05,22.45,46.05,125,同程,0.25,-0.5,-4.75,-1.57,11,同程,151,-1.25,-0.5,1,-0.15,2,NULL,123,2,6
4,呂健威,何澤堯,-15,-11,-11,-5,-11,-2,31,13,0,NULL,NULL,2,-10,-10,12,0,1,1,12,0,0,0,12,NULL,22.6,NULL,NULL,22.1,FALSE,TRUE,FALSE,FALSE,TRUE,普通,95,-0.75,0.25,-9.25,-8.5,-9.5,-2.6,12,24.01,46.2,24.46,46.65,23.34,46.04,23.26,46.04,165,NULL,-0.75,-0.75,0.75,-0.79,7,NULL,186,-1.75,-0.75,-0.5,-0.39,9,NULL,122,4.6,11
4,蘇偉賢,史卓豐,8,7,17,-3,17,-3,10,1,0,13,23.5,0,-3,-3,34,-1,1,1,56,-1,0,1,78,NULL,22.4,NULL,NULL,NULL,FALSE,TRUE,FALSE,FALSE,FALSE,普通,102,-1.75,-2.75,-4.25,-2.5,-1.5,-1.24,8,23.71,45.73,23.47,45.49,23.48,45.68,22.75,45.68,123,NULL,-2.25,-3.25,-3.25,-1.37,6,縮程,147,-5,-3.25,-2.5,0.34,4,NULL,122,10,1
3,苗禮德,田泰安,0,119,1161,119,1161,119,18,6,0,11,22.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.8,22.7,FALSE,FALSE,FALSE,TRUE,TRUE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,119,NULL,4
3,蔡約翰,莫雷拉,0,119,1157,119,1157,119,2.1,4,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,21.9,NULL,FALSE,TRUE,FALSE,TRUE,FALSE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,119,NULL,3
5,姚本輝,黎海榮,-5,3,1102,119,1102,119,505,14,0,NULL,NULL,4,-3,-3,910,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.3,FALSE,FALSE,FALSE,FALSE,TRUE,田增,22,-2.75,-3.75,-6.25,-3.5,-2.5,-2.69,10,22.68,42.73,22.83,42.88,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,-353,119,152,7
6,方嘉柏,楊明綸,-9,2,-24,-2,-18,-3,58,7,0,NULL,NULL,0,2,2,56,1,7,7,1114,0,3,3,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,普通,11,-2.5,-3.25,-2.75,-0.25,0.5,-1.2,7,23.23,45.47,23.5,45.74,21.85,42.02,22.19,42.02,22,田增,-2.75,-4.5,-1.75,-1.74,1,NULL,42,-3.75,-9.5,-8.75,-0.1,4,NULL,119,25,5
5,羅富全,黃俊,2,-6,16,-1,7,-4,366,9,0,NULL,NULL,-4,-6,-6,56,-2,-7,-7,34,0,-9,-9,12,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,22,-1,-4,-13.75,-12.75,-9.75,-3.56,14,23.81,44.18,23.75,44.12,24.26,47.01,24.09,47.01,35,同程,-0.5,-1,-11.5,-1.54,12,同程,63,1.25,0.06,-7.75,-1.42,12,-129,114,237,12
5,蘇偉賢,陳嘉熙,-7,0,9,-14,-2,-21,84,10,0,NULL,NULL,-4,1,1,1114,0,-1,-1,12,0,-5,-5,12,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,22,-2,-5.75,-9.5,-7.5,-3.75,-2.45,11,22.73,43.22,22.94,43.43,22.34,44.8,23.62,44.8,42,同程,1.25,1,-0.5,-0.3,8,同程,63,0.5,0.75,-5.25,-1.79,9,NULL,112,27,14
3,告東尼,波健士,-1,-9,-13,7,-10,-11,9.8,2,0,3,22.9,0,1,0,56,1,0,-5,34,-2,1,3,34,NULL,NULL,NULL,NULL,22.1,FALSE,FALSE,FALSE,FALSE,TRUE,縮程,22,-2,-2,-1.5,0.5,0.5,-0.01,8,22.67,45.63,22.7,45.66,24.18,46.9,21.85,46.9,49,縮程,-0.5,-0.25,-3.25,-1.25,10,縮程,70,-3.5,-2,0.06,1.18,4,NULL,118,4.1,2
5,沈集成,潘明輝,8,-2,3,-11,12,-7,51,3,0,8,21,0,-8,-8,12,0,0,0,12,3,-7,-7,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,22,0.25,0.25,-5.5,-5.75,-5.75,-3.33,12,23.4,43.29,23.16,43.05,22.21,42.63,23.14,42.63,49,田增,0.25,0.75,3.5,-2.12,1,同程,70,-3,-1,-6,-0.8,11,NULL,116,8.5,10
4,丁冠豪,黃皓楠,-4,0,-9,-5,-1,-18,145,12,0,NULL,NULL,0,0,-2,56,-1,0,5,1114,1,1,1,34,NULL,NULL,NULL,NULL,22.3,FALSE,FALSE,FALSE,FALSE,TRUE,縮程,168,-2.75,-3.5,-4.75,-2,-1.25,-0.7,9,23.4,46.22,23.52,46.34,22.4,44.89,22.46,44.89,190,縮程,-5.75,-3.75,-4.25,-0.06,4,NULL,207,-1.5,-1.5,-0.01,-0.08,5,NULL,115,10,13
3,呂健威,何澤堯,-10,4,1006,133,1006,133,2.5,4,0,NULL,NULL,1,4,4,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,42,-4,-2.5,2.25,6.25,4.75,-2.17,1,23.04,44.09,23.34,44.39,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,133,6.5,7
3,呂健威,賀銘年,11,-3,9,-3,1126,126,11,1,0,NULL,NULL,0,0,0,34,0,1,1,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,21,-0.25,-0.5,-1.5,-1.25,-1,-1.22,3,22.4,43.34,22.07,43.01,23.78,45.19,NULL,45.19,42,田增,-0.75,-1.5,-3,-2.46,2,NULL,NULL,0,0,0,NULL,NULL,NULL,126,4.7,2
3,沈集成,薛恩,0,126,1193,126,1193,126,82,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.5,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,126,NULL,3
3,徐雨石,楊明綸,0,126,1021,126,1021,126,162,8,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.5,NULL,22.4,FALSE,FALSE,TRUE,FALSE,TRUE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,126,NULL,8
3,蘇偉賢,田泰安,19,-3,1031,126,1031,126,19,6,0,NULL,NULL,-2,-1,-1,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,42,0.25,-0.5,-3,-3.25,-2.5,-2.66,4,24.51,45.88,23.94,45.31,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,126,4.2,9
3,韋達,莫雷拉,-5,-3,-3,-3,1177,126,4,7,0,7,23,1,-1,-1,12,0,0,0,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,21,-0.06,0.5,-0.5,-0.44,-1,-1.19,2,21.85,42.75,22,42.9,23.87,45.16,NULL,45.16,42,田增,-0.25,-0.25,-2.25,-2.67,3,NULL,NULL,0,0,0,NULL,NULL,NULL,126,1.7,5
2,約翰摩亞,潘頓,6,4,3,4,1123,124,4.4,2,0,NULL,NULL,0,3,3,34,2,-4,-4,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,21,-1.25,-1.25,0.5,1.75,1.75,-0.9,1,22.1,43,21.92,42.82,24.54,45.75,NULL,45.75,42,田增,-0.5,0.25,-5,-3.21,5,NULL,NULL,0,0,0,NULL,NULL,NULL,124,4.9,1
2,韋達,史卓豐,-5,-3,1225,117,1225,117,5.7,9,0,NULL,NULL,-1,-2,-2,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.8,FALSE,FALSE,FALSE,FALSE,TRUE,田增,21,0.06,-0.5,-2,-2.06,-1.5,-1.24,4,21.98,42.96,22.13,43.11,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,117,4.7,4
2,蘇保羅,蔡明紹,0,113,1102,113,1102,113,88,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.2,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,113,NULL,6
4,徐雨石,薛恩,11,21,-1,14,-8,12,138,10,0,NULL,NULL,0,-1,-1,56,-3,0,0,1114,1,-1,-1,1114,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,田增,35,-5,-4.75,-4,1,0.75,-0.13,7,23.35,45.77,23.07,45.49,23.87,44.81,24.45,44.81,42,田增,-2.5,-5.75,-12,-2.58,10,田增,56,-3.5,-5.25,-14.25,-3.23,13,275,131,413,11
3,蔡約翰,莫雷拉,15,-2,20,-1,3,4,4,2,0,NULL,NULL,0,0,-2,34,1,1,3,56,-1,1,6,910,NULL,23.3,NULL,22.5,22.4,FALSE,TRUE,FALSE,TRUE,TRUE,縮程,126,-2,-1.5,-4.25,-2.25,-2.75,-0.27,11,24.13,47.67,23.76,47.3,23.46,47.3,23.68,47.3,144,縮程,-4,-1.75,-0.5,0.36,4,同程,155,-5.75,-3,-0.5,-0.4,2,NULL,129,5.6,4
4,羅富全,潘頓,5,0,1173,125,1173,125,8.1,11,0,NULL,NULL,2,6,6,1114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.9,22.7,FALSE,FALSE,FALSE,TRUE,TRUE,田增,15,-8.5,-7.25,-2.25,6.25,5,-0.54,1,22.69,44.72,22.57,44.6,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,127.9,125,136,1
7,告東尼,田泰安,-8,-3,4,-4,-11,-6,4,13,0,NULL,NULL,-1,-1,8,1114,-2,0,5,910,1,0,-3,34,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,42,-5.5,-6,-1.75,3.75,4.25,-0.56,4,23.74,47.19,23.94,47.39,22.96,45.93,23.35,45.93,63,同程,-5.5,-4,-2,-0.09,4,同程,77,-1.75,-1.25,-1.75,0.01,10,NULL,125,6.9,2
4,呂健威,何澤堯,0,125,1114,125,1114,125,202,8,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.9,22.4,FALSE,FALSE,FALSE,TRUE,TRUE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,125,NULL,7
4,約翰摩亞,賀銘年,-3,-1,-6,1,-9,0,3.6,6,0,NULL,NULL,0,2,1,78,0,5,5,78,-1,0,0,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,15,-3.5,-1.25,-1,2.5,0.25,0.81,3,23.57,48.05,23.65,48.13,22.64,45.15,23.65,45.15,28,田增,-4.75,-4.25,-0.75,-0.11,1,田增,49,-3.75,-4.75,-6.25,-0.84,7,NULL,125,9.9,5
4,賀賢,蘇狄雄,0,123,1178,123,1178,123,339,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22.2,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,123,NULL,12
4,韋達,周俊樂,-9,-12,5,-14,4,-15,16,7,0,NULL,NULL,1,4,4,1114,0,0,0,56,-1,3,3,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,18,-4.75,-5.25,-3,1.75,2.25,-0.54,2,22.72,45.42,22.94,45.64,22.61,45.3,22.4,45.3,42,田增,-3.75,-3.5,-4.5,-0.27,8,谷增,60,-2.5,-4.5,-1.25,-0.83,3,12,114,28,6
3,葉楚航,郭能,-3,-2,19,0,1232,123,174,12,0,NULL,NULL,1,-1,-1,1114,2,5,5,1114,NULL,NULL,NULL,NULL,NULL,NULL,21.5,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,谷增,39,-7,-7.25,-10,-3,-2.75,-0.39,11,23.31,46.35,23.38,46.42,22.37,44.72,NULL,44.72,63,田增,-6.25,-4.75,-5.75,-0.02,5,NULL,NULL,0,0,0,NULL,NULL,NULL,123,64,13
4,鄭俊偉,楊明綸,-13,-3,-12,-7,-12,-8,14,3,0,NULL,NULL,3,-2,-2,78,1,2,-1,1114,1,2,2,910,23.4,NULL,NULL,NULL,NULL,TRUE,FALSE,FALSE,FALSE,FALSE,田增,49,-5.5,-4.5,-6.5,-1,-2,-1.25,10,23.34,45.83,23.67,46.16,23.57,46.42,22.64,46.42,63,同程,-6,-3.75,-6,-0.89,10,田增,71,-6,-4,-4.5,-0.02,7,65,122,79,10
4,高伯新,梁家俊,1,-4,-3,-8,-11,-9,382,9,0,NULL,NULL,0,-1,-1,1114,0,0,0,78,1,-3,-3,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷增,18,-5.5,-6,-9.75,-4.25,-3.75,-1.47,8,24.07,46.74,24.04,46.71,22.88,45.84,23.17,45.84,39,谷增,-5.25,-5,-5.5,-0.12,6,谷增,60,-3,-4.75,-5.5,-1.49,9,-203,117,179,14
4,文家良,黎海榮,-3,-3,-15,-5,-5,-7,29,4,0,NULL,NULL,0,-2,-8,12,0,0,-6,34,-1,0,-10,12,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,谷縮,18,0.06,-2.75,-16,-16.06,-13.25,-2.24,11,26.7,51.31,26.78,51.39,24.98,48.47,24.74,48.47,42,同程,-1.5,-2.25,-5,-1.61,9,同程,63,-0.5,-1,-10.5,-1.62,13,22,115,51,9
5,容天鵬,蔡明紹,51,-4,35,-8,15,-8,12,1,0,NULL,NULL,0,-1,-9,34,0,0,-9,34,1,1,1,56,NULL,NULL,22.2,NULL,22.8,FALSE,FALSE,TRUE,FALSE,TRUE,谷縮,123,-1,-1.5,-17.5,-16.5,-16,-2.54,12,27.88,52.05,26.61,50.78,24.81,48.85,24.34,48.85,144,縮程,-2,-1,-9.25,-0.97,12,谷縮,326,-4.5,-2.25,-3,0.34,4,NULL,114,17,3
4,丁冠豪,潘明輝,-13,-5,-35,-6,-44,-10,18,5,0,NULL,NULL,0,2,1,1114,-3,0,6,1114,1,0,-2,34,NULL,NULL,22.8,NULL,NULL,FALSE,FALSE,TRUE,FALSE,FALSE,同程,49,-6.25,-3.75,-5.75,0.5,-2,-0.93,8,23.79,47.1,24.12,47.43,23.5,47.62,23.52,47.62,98,縮程,-6,-5.25,-4.25,0.47,3,縮程,126,-0.5,-0.25,-2.75,-0.19,10,NULL,112,9.5,8
5,蔡約翰,莫雷拉,-2,7,12,10,3,0,4,4,0,NULL,NULL,0,0,0,34,0,1,1,34,0,2,2,34,NULL,22.8,NULL,NULL,22.3,FALSE,TRUE,FALSE,FALSE,TRUE,同程,28,-1.75,-1.25,-1.5,0.25,-0.25,-0.86,8,23.14,45.27,23.2,45.33,23.2,45.45,22.01,45.45,49,同程,-1.25,-1,-0.75,-0.65,4,同程,77,-1.25,-1.5,0.5,0.71,3,NULL,133,3,2
4,約翰摩亞,潘頓,-8,1,-9,4,7,0,2.3,2,0,2,23.7,2,6,6,910,-1,2,2,56,0,5,5,78,NULL,22.8,NULL,NULL,NULL,FALSE,TRUE,FALSE,FALSE,FALSE,同程,28,-6.25,-3,-0.75,5.5,2.25,-0.93,2,22.41,44.1,22.65,44.34,23.01,45.26,21.56,45.26,49,同程,-2,-1.75,-1.25,-0.64,3,同程,77,-5.25,-4.75,-0.5,1.04,1,NULL,127,9.3,1
6,高伯新,賀銘年,6,-1,-8,-1,-6,-1,9.2,6,0,6,23.2,-1,6,6,1114,0,0,0,78,1,-1,-1,34,NULL,NULL,NULL,NULL,22.1,FALSE,FALSE,FALSE,FALSE,TRUE,同程,28,-5.25,-3.25,-1.75,3.5,1.5,-0.83,3,22.87,44.76,22.69,44.58,23.03,46.14,22.27,46.14,98,縮程,-5,-3.5,-5.75,0.05,6,同程,126,-2,-1,-1.75,-0.39,5,42.8,125,52,6
4,羅富全,史卓豐,6,-7,-13,-4,-8,3,9.1,8,0,NULL,NULL,0,-7,-7,34,0,-3,-3,12,0,0,0,56,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,28,-1.5,-1,-5,-3.5,-4,-1.46,10,23.56,45.69,23.38,45.51,23.03,45.28,22.11,45.28,49,同程,-1,-0.75,-2,-0.9,7,同程,77,-3.25,-2.5,-1,0.54,4,18.9,119,28,3
5,羅富全,何澤堯,-6,-11,-1,-8,1,-5,6.6,3,0,NULL,NULL,-1,0,-3,34,0,0,0,78,-1,0,3,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,28,-2.5,-1.5,-8.5,-6,-7,-0.07,7,22.72,45.88,22.9,46.06,22.63,45.31,21.93,45.31,49,縮程,-5.75,-5.75,-6.5,-0.19,6,縮程,71,-3.75,-3,-0.25,0.78,6,63.4,115,70,4
8,姚本輝,波健士,-3,-13,6,-14,6,0,13,5,0,NULL,NULL,0,1,1,78,-1,-2,7,910,0,5,5,78,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,同程,28,-3.75,-2.5,-2.25,1.5,0.25,-0.91,5,22.44,44.45,22.53,44.54,21.96,44.99,20.89,44.99,118,縮程,-4.75,-4.75,-1.75,0.65,2,田增,236,-2,-3,-0.25,-0.18,1,81,113,94,5
5,告東尼,田泰安,3,-13,8,-2,1,-11,14,1,0,7,22.7,-1,7,7,910,0,7,7,78,0,9,9,1114,NULL,NULL,22.8,NULL,22.7,FALSE,FALSE,TRUE,FALSE,TRUE,普通,67,-4.75,-4.25,-0.75,4,3.5,-0.05,4,22.43,45.11,22.34,45.02,22.46,45.18,22.37,45.18,88,NULL,-2.75,-4.25,0.25,0.2,1,NULL,116,-6.5,-7.25,-1.75,-0.54,2,NULL,113,6,8
8,徐雨石,梁家俊,4,-9,12,-11,2,-9,76,7,0,NULL,NULL,0,1,4,1114,-1,-1,2,78,-1,1,8,910,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE,FALSE,FALSE,FALSE,縮程,15,-8.5,-7.75,-4,4.5,3.75,0.03,1,22.34,44.86,22.22,44.74,23.05,45.65,22.95,45.65,42,縮程,-4.5,-3.5,-2.75,-0.78,5,縮程,98,-8,-6,0.01,-0.86,3,NULL,113,47,7
5,容天鵬,周俊樂,-20,-3,-19,-8,-26,11,8.5,6,0,NULL,NULL,0,-4,-4,12,2,0,0,34,-1,-3,-9,34,NULL,NULL,NULL,NULL,22.6,FALSE,FALSE,FALSE,FALSE,TRUE,同程,21,1.25,0.75,-3.75,-5,-4.5,-1.25,12,22.81,45.06,23.41,45.66,22.34,44.46,27.02,44.46,259,同程,-2.5,-1.5,-2,-0.46,9,縮程,315,-0.06,-1.75,-25.5,-3.12,14,6.5,123,15,3
4,韋達,薛恩,0,131,1008,131,1008,131,87,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.4,NULL,21.9,NULL,NULL,TRUE,FALSE,TRUE,FALSE,FALSE,普通,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,131,NULL,9
